1 , 26 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0118241 , 1.5974e-05 , 0.0127749 , 0.024621
1 , 27 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.012219 , 1.50204e-05 , 0.012358 , 0.024595
1 , 28 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.012306 , 1.5974e-05 , 0.0122199 , 0.0245459
1 , 29 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0123651 , 1.5974e-05 , 0.0126529 , 0.0250368
1 , 30 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.012398 , 1.5974e-05 , 0.0126469 , 0.0250661
1 , 31 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.012526 , 1.78814e-05 , 0.012563 , 0.025111
1 , 32 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.012037 , 1.5974e-05 , 0.012773 , 0.0248291
2 , 1 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00947189 , 2.5034e-05 , 0.00996304 , 0.019464
2 , 2 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00903702 , 3.29018e-05 , 0.0102 , 0.019273
2 , 3 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00880599 , 2.59876e-05 , 0.00943899 , 0.0182762
2 , 4 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00955105 , 2.6226e-05 , 0.00967789 , 0.019259
2 , 5 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00961399 , 2.69413e-05 , 0.0093832 , 0.019027
2 , 6 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00946212 , 2.59876e-05 , 0.0097959 , 0.0192881
2 , 7 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00936508 , 2.59876e-05 , 0.00894189 , 0.0183358
2 , 8 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0091989 , 2.69413e-05 , 0.00991511 , 0.0191441
2 , 9 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.008708 , 2.69413e-05 , 0.0102229 , 0.018961
2 , 10 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00974798 , 2.59876e-05 , 0.00938892 , 0.0191669
2 , 11 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00944686 , 2.59876e-05 , 0.00977111 , 0.019248
2 , 12 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00974107 , 2.59876e-05 , 0.00969195 , 0.0194631
2 , 13 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00960279 , 2.59876e-05 , 0.00989985 , 0.0195329
2 , 14 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00950789 , 2.59876e-05 , 0.00909805 , 0.0186369
2 , 15 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00905395 , 2.59876e-05 , 0.00913 , 0.018214
2 , 16 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00988317 , 2.98023e-05 , 0.00924706 , 0.0191641
2 , 17 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0100739 , 2.7895e-05 , 0.00986004 , 0.0199661
2 , 18 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0100789 , 2.6226e-05 , 0.00942492 , 0.0195332
2 , 19 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00993609 , 2.69413e-05 , 0.00968099 , 0.019649
2 , 20 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.010112 , 2.59876e-05 , 0.00977397 , 0.0199151
