1 , 22 , mapped-by-core , 2048 x 2048 , 0.0120311 , 1.38283e-05 , 0.0120721 , 0.024121
33 , 26 , mapped-by-core , 2048 x 2048 , 0.393323 , 9.89437e-05 , 0.205479 , 0.598905
1 , 23 , mapped-by-core , 2048 x 2048 , 0.0116289 , 1.3113e-05 , 0.012476 , 0.024122
1 , 24 , mapped-by-core , 2048 x 2048 , 0.012023 , 1.28746e-05 , 0.012243 , 0.0242839
33 , 27 , mapped-by-core , 2048 x 2048 , 0.258301 , 8.58307e-05 , 0.194208 , 0.452598
1 , 25 , mapped-by-core , 2048 x 2048 , 0.012109 , 1.3113e-05 , 0.0122528 , 0.024379
1 , 26 , mapped-by-core , 2048 x 2048 , 0.0121112 , 1.5974e-05 , 0.0122828 , 0.0244138
33 , 28 , mapped-by-core , 2048 x 2048 , 0.285302 , 9.60827e-05 , 0.365368 , 0.65077
1 , 27 , mapped-by-core , 2048 x 2048 , 0.0122042 , 1.28746e-05 , 0.0121181 , 0.024338
1 , 28 , mapped-by-core , 2048 x 2048 , 0.0118389 , 1.28746e-05 , 0.0126388 , 0.0244958
33 , 29 , mapped-by-core , 2048 x 2048 , 0.331059 , 0.000105143 , 0.215399 , 0.546568
1 , 29 , mapped-by-core , 2048 x 2048 , 0.011893 , 1.38283e-05 , 0.012578 , 0.0244899
1 , 30 , mapped-by-core , 2048 x 2048 , 0.011867 , 1.38283e-05 , 0.0127001 , 0.0245841
33 , 30 , mapped-by-core , 2048 x 2048 , 0.273517 , 8.98838e-05 , 0.23859 , 0.512202
1 , 31 , mapped-by-core , 2048 x 2048 , 0.0123272 , 1.38283e-05 , 0.0121441 , 0.0244889
1 , 32 , mapped-by-core , 2048 x 2048 , 0.011889 , 1.3113e-05 , 0.0128169 , 0.024725
33 , 31 , mapped-by-core , 2048 x 2048 , 0.313646 , 9.70364e-05 , 0.366489 , 0.680236
1 , 1 , mapped-by-core , 2048 x 2048 , 0.0111132 , 1.38283e-05 , 0.013284 , 0.0244138
1 , 2 , mapped-by-core , 2048 x 2048 , 0.011497 , 1.5974e-05 , 0.0120621 , 0.023581
33 , 32 , mapped-by-core , 2048 x 2048 , 0.291817 , 0.0164292 , 0.284552 , 0.592802
1 , 3 , mapped-by-core , 2048 x 2048 , 0.0111871 , 1.3113e-05 , 0.012511 , 0.023715
33 , 1 , mapped-by-core , 2048 x 2048 , 0.03389 , 9.01222e-05 , 0.0361459 , 0.0701311
1 , 4 , mapped-by-core , 2048 x 2048 , 0.011081 , 1.3113e-05 , 0.0126441 , 0.0237441
1 , 5 , mapped-by-core , 2048 x 2048 , 0.01157 , 1.3113e-05 , 0.0120859 , 0.0236728
33 , 2 , mapped-by-core , 2048 x 2048 , 0.0861671 , 0.000102043 , 0.095279 , 0.181552
1 , 6 , mapped-by-core , 2048 x 2048 , 0.0115719 , 1.3113e-05 , 0.01208 , 0.0236681
33 , 3 , mapped-by-core , 2048 x 2048 , 0.107347 , 0.00252318 , 0.040741 , 0.150614
1 , 7 , mapped-by-core , 2048 x 2048 , 0.011271 , 1.28746e-05 , 0.0129361 , 0.024224
33 , 4 , mapped-by-core , 2048 x 2048 , 0.0506592 , 0.0118649 , 0.07041 , 0.132938
1 , 8 , mapped-by-core , 2048 x 2048 , 0.0115571 , 1.5974e-05 , 0.012722 , 0.0243001
1 , 9 , mapped-by-core , 2048 x 2048 , 0.011652 , 1.3113e-05 , 0.01209 , 0.0237589
33 , 5 , mapped-by-core , 2048 x 2048 , 0.0748191 , 9.08375e-05 , 0.0671501 , 0.142063
1 , 10 , mapped-by-core , 2048 x 2048 , 0.0116589 , 1.50204e-05 , 0.012064 , 0.023742
33 , 6 , mapped-by-core , 2048 x 2048 , 0.058229 , 0.00481415 , 0.094604 , 0.157651
1 , 11 , mapped-by-core , 2048 x 2048 , 0.0120299 , 1.3113e-05 , 0.0120499 , 0.024097
1 , 12 , mapped-by-core , 2048 x 2048 , 0.0118279 , 1.3113e-05 , 0.0119689 , 0.023814
33 , 7 , mapped-by-core , 2048 x 2048 , 0.180046 , 9.20296e-05 , 0.137655 , 0.317798
1 , 13 , mapped-by-core , 2048 x 2048 , 0.0116231 , 1.38283e-05 , 0.012367 , 0.0240078
1 , 14 , mapped-by-core , 2048 x 2048 , 0.011415 , 1.38283e-05 , 0.0125952 , 0.0240281
33 , 8 , mapped-by-core , 2048 x 2048 , 0.110466 , 0.00247002 , 0.0970621 , 0.210002
1 , 15 , mapped-by-core , 2048 x 2048 , 0.0114839 , 1.3113e-05 , 0.012392 , 0.0238931
33 , 9 , mapped-by-core , 2048 x 2048 , 0.120657 , 0.013989 , 0.055203 , 0.189852
1 , 16 , mapped-by-core , 2048 x 2048 , 0.011786 , 1.5974e-05 , 0.0121379 , 0.0239429
1 , 17 , mapped-by-core , 2048 x 2048 , 0.011483 , 1.3113e-05 , 0.0123789 , 0.0238781
33 , 10 , mapped-by-core , 2048 x 2048 , 0.142747 , 0.00238895 , 0.147301 , 0.292441
1 , 18 , mapped-by-core , 2048 x 2048 , 0.0115302 , 1.50204e-05 , 0.0126798 , 0.0242288
1 , 19 , mapped-by-core , 2048 x 2048 , 0.0118792 , 1.28746e-05 , 0.012311 , 0.0242059
33 , 11 , mapped-by-core , 2048 x 2048 , 0.112326 , 8.10623e-05 , 0.159921 , 0.272332
1 , 20 , mapped-by-core , 2048 x 2048 , 0.0115399 , 1.40667e-05 , 0.012521 , 0.0240791
33 , 12 , mapped-by-core , 2048 x 2048 , 0.12483 , 0.00699592 , 0.099139 , 0.230969
1 , 21 , mapped-by-core , 2048 x 2048 , 0.0119779 , 1.81198e-05 , 0.012162 , 0.0241621
1 , 22 , mapped-by-core , 2048 x 2048 , 0.012121 , 1.40667e-05 , 0.0120189 , 0.024158
1 , 23 , mapped-by-core , 2048 x 2048 , 0.0118339 , 1.28746e-05 , 0.0129042 , 0.024755
33 , 13 , mapped-by-core , 2048 x 2048 , 0.375933 , 7.60555e-05 , 0.25963 , 0.635645
1 , 24 , mapped-by-core , 2048 x 2048 , 0.011677 , 1.3113e-05 , 0.0125129 , 0.0242078
33 , 14 , mapped-by-core , 2048 x 2048 , 0.129369 , 8.29697e-05 , 0.11884 , 0.248296
1 , 25 , mapped-by-core , 2048 x 2048 , 0.012732 , 2.90871e-05 , 0.0123441 , 0.0251091
1 , 26 , mapped-by-core , 2048 x 2048 , 0.012141 , 3.09944e-05 , 0.012372 , 0.024549
33 , 15 , mapped-by-core , 2048 x 2048 , 0.148477 , 9.39369e-05 , 0.244746 , 0.393321
1 , 27 , mapped-by-core , 2048 x 2048 , 0.0118768 , 1.28746e-05 , 0.0130639 , 0.0249591
1 , 28 , mapped-by-core , 2048 x 2048 , 0.0122058 , 1.40667e-05 , 0.0124121 , 0.024636
33 , 16 , mapped-by-core , 2048 x 2048 , 0.150377 , 7.51019e-05 , 0.285976 , 0.436432
1 , 29 , mapped-by-core , 2048 x 2048 , 0.0122831 , 1.3113e-05 , 0.0123129 , 0.0246129
1 , 30 , mapped-by-core , 2048 x 2048 , 0.012259 , 2.7895e-05 , 0.0125091 , 0.0248001
33 , 17 , mapped-by-core , 2048 x 2048 , 0.166151 , 0.075135 , 0.0655818 , 0.306873
1 , 31 , mapped-by-core , 2048 x 2048 , 0.0122361 , 1.3113e-05 , 0.0127258 , 0.0249798
33 , 18 , mapped-by-core , 2048 x 2048 , 0.179954 , 8.91685e-05 , 0.174565 , 0.354611
1 , 32 , mapped-by-core , 2048 x 2048 , 0.0121629 , 1.40667e-05 , 0.0127399 , 0.0249219
1 , 1 , mapped-by-core , 2048 x 2048 , 0.0109951 , 1.38283e-05 , 0.013417 , 0.0244288
1 , 2 , mapped-by-core , 2048 x 2048 , 0.0114431 , 1.5974e-05 , 0.012131 , 0.0235949
33 , 19 , mapped-by-core , 2048 x 2048 , 0.223713 , 0.00239301 , 0.337865 , 0.563975
1 , 3 , mapped-by-core , 2048 x 2048 , 0.0115569 , 2.59876e-05 , 0.0120931 , 0.0236809
33 , 20 , mapped-by-core , 2048 x 2048 , 0.237176 , 0.011409 , 0.140151 , 0.388739
1 , 4 , mapped-by-core , 2048 x 2048 , 0.011512 , 1.3113e-05 , 0.0123019 , 0.0238311
1 , 5 , mapped-by-core , 2048 x 2048 , 0.01123 , 1.3113e-05 , 0.0125461 , 0.023792
33 , 21 , mapped-by-core , 2048 x 2048 , 0.211905 , 6.81877e-05 , 0.173519 , 0.385495
