18 , mapped-by-node , 2048 x 2048 , 0.0754089 , 6.60419e-05 , 0.072535 , 0.14801
18 , mapped-by-node , 2048 x 2048 , 0.0747828 , 7.29561e-05 , 0.0725181 , 0.147375
18 , mapped-by-node , 2048 x 2048 , 0.235629 , 7.10487e-05 , 0.0725589 , 0.308259
18 , mapped-by-node , 2048 x 2048 , 0.07496 , 6.29425e-05 , 0.0726392 , 0.147663
18 , mapped-by-node , 2048 x 2048 , 0.074187 , 6.60419e-05 , 0.0723729 , 0.146626
19 , mapped-by-node , 2048 x 2048 , 0.070123 , 7.00951e-05 , 0.0687988 , 0.138993
19 , mapped-by-node , 2048 x 2048 , 0.0706689 , 6.19888e-05 , 0.0688398 , 0.139573
19 , mapped-by-node , 2048 x 2048 , 0.0702341 , 6.19888e-05 , 0.0688469 , 0.139143
19 , mapped-by-node , 2048 x 2048 , 0.071146 , 6.29425e-05 , 0.068902 , 0.140111
19 , mapped-by-node , 2048 x 2048 , 0.0703762 , 6.38962e-05 , 0.0687881 , 0.139229
20 , mapped-by-node , 2048 x 2048 , 0.0750592 , 7.20024e-05 , 0.072552 , 0.147683
20 , mapped-by-node , 2048 x 2048 , 0.07446 , 6.79493e-05 , 0.072475 , 0.147003
20 , mapped-by-node , 2048 x 2048 , 0.0746851 , 6.79493e-05 , 0.0724571 , 0.14721
20 , mapped-by-node , 2048 x 2048 , 0.236745 , 7.41482e-05 , 0.0724859 , 0.309305
20 , mapped-by-node , 2048 x 2048 , 0.0743492 , 6.48499e-05 , 0.0725231 , 0.146938
21 , mapped-by-node , 2048 x 2048 , 0.0702128 , 7.00951e-05 , 0.0692191 , 0.139502
21 , mapped-by-node , 2048 x 2048 , 0.0701768 , 6.07967e-05 , 0.069206 , 0.139446
21 , mapped-by-node , 2048 x 2048 , 0.071317 , 6.98566e-05 , 0.0691731 , 0.14056
21 , mapped-by-node , 2048 x 2048 , 0.07161 , 6.29425e-05 , 0.0692072 , 0.14088
21 , mapped-by-node , 2048 x 2048 , 0.070895 , 6.8903e-05 , 0.0691309 , 0.140097
22 , mapped-by-node , 2048 x 2048 , 0.075295 , 6.81877e-05 , 0.0724828 , 0.147847
22 , mapped-by-node , 2048 x 2048 , 0.0748041 , 6.79493e-05 , 0.07271 , 0.147583
22 , mapped-by-node , 2048 x 2048 , 0.074301 , 6.60419e-05 , 0.072897 , 0.147264
22 , mapped-by-node , 2048 x 2048 , 0.0745211 , 6.38962e-05 , 0.0724041 , 0.14699
