27 , mapped-by-core-extra , 8196 x 8196 , 0.710891 , 1.09673e-05 , 0.162999 , 0.873907
27 , mapped-by-core-extra , 8196 x 8196 , 2.14842 , 1.4782e-05 , 0.167149 , 2.31558
27 , mapped-by-core-extra , 8196 x 8196 , 0.780104 , 9.05991e-06 , 0.122905 , 0.903022
27 , mapped-by-core-extra , 8196 x 8196 , 0.839623 , 8.82149e-06 , 0.1186 , 0.958237
27 , mapped-by-core-extra , 8196 x 8196 , 0.728109 , 3.09944e-06 , 0.153258 , 0.881374
28 , mapped-by-core-extra , 8196 x 8196 , 0.744043 , 9.05991e-06 , 0.121534 , 0.865591
28 , mapped-by-core-extra , 8196 x 8196 , 2.52851 , 1.19209e-05 , 0.224737 , 2.75326
28 , mapped-by-core-extra , 8196 x 8196 , 2.05118 , 1.09673e-05 , 0.121869 , 2.17306
28 , mapped-by-core-extra , 8196 x 8196 , 0.658156 , 1.12057e-05 , 0.120795 , 0.778965
28 , mapped-by-core-extra , 8196 x 8196 , 1.23813 , 3.09944e-06 , 0.119649 , 1.35778
29 , mapped-by-core-extra , 8196 x 8196 , 0.732161 , 5.00679e-06 , 0.120025 , 0.852195
29 , mapped-by-core-extra , 8196 x 8196 , 1.3001 , 1.09673e-05 , 0.124733 , 1.42485
29 , mapped-by-core-extra , 8196 x 8196 , 2.18889 , 1.00136e-05 , 0.236661 , 2.42557
29 , mapped-by-core-extra , 8196 x 8196 , 1.50227 , 1.19209e-05 , 0.113257 , 1.61555
29 , mapped-by-core-extra , 8196 x 8196 , 0.801092 , 1.09673e-05 , 0.15823 , 0.959337
30 , mapped-by-core-extra , 8196 x 8196 , 1.24013 , 1.00136e-05 , 0.119076 , 1.35922
30 , mapped-by-core-extra , 8196 x 8196 , 0.704009 , 1.00136e-05 , 0.118986 , 0.823008
30 , mapped-by-core-extra , 8196 x 8196 , 1.82527 , 1.28746e-05 , 0.119783 , 1.94508
30 , mapped-by-core-extra , 8196 x 8196 , 0.779621 , 1.40667e-05 , 0.115049 , 0.894689
30 , mapped-by-core-extra , 8196 x 8196 , 2.49944 , 2.86102e-06 , 0.201772 , 2.70122
31 , mapped-by-core-extra , 8196 x 8196 , 2.19188 , 1.12057e-05 , 0.224683 , 2.41658
31 , mapped-by-core-extra , 8196 x 8196 , 4.45323 , 1.50204e-05 , 0.152261 , 4.60551
31 , mapped-by-core-extra , 8196 x 8196 , 3.72987 , 1.28746e-05 , 0.132662 , 3.86255
31 , mapped-by-core-extra , 8196 x 8196 , 1.84902 , 1.09673e-05 , 0.133529 , 1.98257
31 , mapped-by-core-extra , 8196 x 8196 , 2.21268 , 1.00136e-05 , 0.201259 , 2.41395
32 , mapped-by-core-extra , 8196 x 8196 , 4.52374 , 7.86781e-06 , 0.170473 , 4.69423
32 , mapped-by-core-extra , 8196 x 8196 , 2.16365 , 1.09673e-05 , 0.139733 , 2.3034
32 , mapped-by-core-extra , 8196 x 8196 , 6.43802 , 8.82149e-06 , 0.28418 , 6.72222
32 , mapped-by-core-extra , 8196 x 8196 , 4.74362 , 1.21593e-05 , 0.170594 , 4.91423
32 , mapped-by-core-extra , 8196 x 8196 , 6.33647 , 1.00136e-05 , 0.216301 , 6.55279
33 , mapped-by-core-extra , 8196 x 8196 , 3.94607 , 9.05991e-06 , 0.164743 , 4.11083
33 , mapped-by-core-extra , 8196 x 8196 , 4.40377 , 5.96046e-06 , 0.216148 , 4.61993
33 , mapped-by-core-extra , 8196 x 8196 , 5.41548 , 1.3113e-05 , 0.20799 , 5.62349
33 , mapped-by-core-extra , 8196 x 8196 , 5.62283 , 1.19209e-05 , 0.310703 , 5.93355
33 , mapped-by-core-extra , 8196 x 8196 , 5.02955 , 9.05991e-06 , 0.274233 , 5.3038
34 , mapped-by-core-extra , 8196 x 8196 , 5.04284 , 1.09673e-05 , 0.331532 , 5.37439
34 , mapped-by-core-extra , 8196 x 8196 , 5.15282 , 8.10623e-06 , 0.316229 , 5.46907
34 , mapped-by-core-extra , 8196 x 8196 , 6.54509 , 1.00136e-05 , 0.333858 , 6.87897
34 , mapped-by-core-extra , 8196 x 8196 , 5.41772 , 1.00136e-05 , 0.311829 , 5.72956
34 , mapped-by-core-extra , 8196 x 8196 , 5.45934 , 1.09673e-05 , 0.297423 , 5.75678
35 , mapped-by-core-extra , 8196 x 8196 , 7.16118 , 1.00136e-05 , 0.380383 , 7.54159
35 , mapped-by-core-extra , 8196 x 8196 , 3.95679 , 5.00679e-06 , 0.351165 , 4.30797
35 , mapped-by-core-extra , 8196 x 8196 , 3.31797 , 1.21593e-05 , 0.339484 , 3.65746
35 , mapped-by-core-extra , 8196 x 8196 , 6.29643 , 1.00136e-05 , 0.306391 , 6.60283
35 , mapped-by-core-extra , 8196 x 8196 , 7.10046 , 5.96046e-06 , 0.328702 , 7.42917
36 , mapped-by-core-extra , 8196 x 8196 , 5.59054 , 1.09673e-05 , 0.478109 , 6.06866
36 , mapped-by-core-extra , 8196 x 8196 , 4.36908 , 1.21593e-05 , 0.375651 , 4.74475
36 , mapped-by-core-extra , 8196 x 8196 , 5.12383 , 1.3113e-05 , 0.420942 , 5.54479
36 , mapped-by-core-extra , 8196 x 8196 , 5.21871 , 1.09673e-05 , 0.431448 , 5.65018
36 , mapped-by-core-extra , 8196 x 8196 , 5.02183 , 5.00679e-06 , 0.387982 , 5.40982
37 , mapped-by-core-extra , 8196 x 8196 , 5.18345 , 8.10623e-06 , 0.486423 , 5.66988
37 , mapped-by-core-extra , 8196 x 8196 , 3.87441 , 1.3113e-05 , 0.418119 , 4.29255
37 , mapped-by-core-extra , 8196 x 8196 , 4.97623 , 1.00136e-05 , 0.464559 , 5.4408
37 , mapped-by-core-extra , 8196 x 8196 , 3.33808 , 3.09944e-06 , 0.361944 , 3.70003
37 , mapped-by-core-extra , 8196 x 8196 , 5.10914 , 3.8147e-06 , 0.391803 , 5.50095
38 , mapped-by-core-extra , 8196 x 8196 , 5.64734 , 1.12057e-05 , 0.528687 , 6.17604
38 , mapped-by-core-extra , 8196 x 8196 , 5.68165 , 7.86781e-06 , 0.578009 , 6.25967
38 , mapped-by-core-extra , 8196 x 8196 , 3.84393 , 5.96046e-06 , 0.514151 , 4.3581
