35 , 15 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.167554 , 8.01086e-05 , 0.190542 , 0.358182
35 , 16 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.193657 , 8.2016e-05 , 0.213831 , 0.407575
35 , 17 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.224284 , 8.89301e-05 , 0.129183 , 0.353559
35 , 18 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.256597 , 8.32081e-05 , 0.154212 , 0.410897
35 , 19 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.190103 , 8.10623e-05 , 0.133144 , 0.323332
35 , 20 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.219561 , 0.071604 , 0.198105 , 0.489277
35 , 21 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.250123 , 7.41482e-05 , 0.268878 , 0.51908
35 , 22 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.305739 , 8.70228e-05 , 0.200202 , 0.506031
35 , 23 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.237263 , 8.91685e-05 , 0.16994 , 0.407295
35 , 24 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.266552 , 9.10759e-05 , 0.194272 , 0.460919
35 , 25 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.376048 , 8.10623e-05 , 0.199869 , 0.576001
35 , 26 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.240991 , 8.08239e-05 , 0.17994 , 0.421015
35 , 27 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.265537 , 9.01222e-05 , 0.193632 , 0.459263
35 , 28 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.308258 , 8.08239e-05 , 0.199847 , 0.508191
35 , 29 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.297848 , 9.20296e-05 , 0.217898 , 0.515842
35 , 30 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.269246 , 7.70092e-05 , 0.234387 , 0.503714
35 , 31 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.299551 , 7.67708e-05 , 0.429658 , 0.729291
35 , 32 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.505061 , 8.39233e-05 , 0.224943 , 0.730092
36 , 1 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.06306 , 9.01222e-05 , 0.0459108 , 0.109064
36 , 2 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0412271 , 9.39369e-05 , 0.0470519 , 0.088376
36 , 3 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.047482 , 8.98838e-05 , 0.0364439 , 0.0840199
36 , 4 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.054183 , 0.000102043 , 0.057008 , 0.111297
36 , 5 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0782151 , 8.60691e-05 , 0.0584478 , 0.136754
36 , 6 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.120837 , 9.01222e-05 , 0.0723269 , 0.193258
36 , 7 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0933421 , 8.98838e-05 , 0.0862861 , 0.179721
36 , 8 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.117337 , 9.29832e-05 , 0.12673 , 0.244164
36 , 9 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0906131 , 8.89301e-05 , 0.114876 , 0.205582
36 , 10 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.13244 , 8.60691e-05 , 0.112762 , 0.245292
36 , 11 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.139605 , 8.39233e-05 , 0.11466 , 0.254355
36 , 12 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.13291 , 8.89301e-05 , 0.145228 , 0.278232
36 , 13 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.154572 , 8.91685e-05 , 0.117688 , 0.272354
36 , 14 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.160255 , 8.89301e-05 , 0.138726 , 0.299074
36 , 15 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.15642 , 9.10759e-05 , 0.155974 , 0.312489
36 , 16 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.159646 , 0.013973 , 0.105902 , 0.279525
36 , 17 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.186615 , 8.98838e-05 , 0.17047 , 0.35718
