32 , --map-by core ETH Gather , 2048 x 2048 , 0.0351219 , 6.50883e-05 , 0.0387781 , 0.0739691 , 
32 , --map-by core ETH Gather , 2048 x 2048 , 0.0164342 , 7.70092e-05 , 0.018816 , 0.035332 , 
1 , --map-by core ETH Gather , 4096 x 4096 , 0.033736 , 1.28746e-05 , 0.052186 , 0.0859411 , 
1 , --map-by core ETH Gather , 4096 x 4096 , 0.0338349 , 6.91414e-06 , 0.0518529 , 0.0856988 , 
1 , --map-by core ETH Gather , 4096 x 4096 , 0.0394611 , 1.00136e-05 , 0.0592759 , 0.098752 , 
1 , --map-by core ETH Gather , 4096 x 4096 , 0.0393751 , 1.00136e-05 , 0.05985 , 0.0992389 , 
1 , --map-by core ETH Gather , 4096 x 4096 , 0.0398121 , 1.00136e-05 , 0.059396 , 0.0992219 , 
2 , --map-by core ETH Gather , 4096 x 4096 , 0.0333011 , 3.69549e-05 , 0.042948 , 0.0762899 , 
2 , --map-by core ETH Gather , 4096 x 4096 , 0.0332639 , 4.41074e-05 , 0.042671 , 0.075984 , 
2 , --map-by core ETH Gather , 4096 x 4096 , 0.033077 , 3.29018e-05 , 0.0431509 , 0.076267 , 
2 , --map-by core ETH Gather , 4096 x 4096 , 0.0332661 , 3.29018e-05 , 0.0427401 , 0.0760441 , 
2 , --map-by core ETH Gather , 4096 x 4096 , 0.032562 , 2.90871e-05 , 0.042671 , 0.0752659 , 
3 , --map-by core ETH Gather , 4096 x 4096 , 0.0308771 , 3.00407e-05 , 0.0361869 , 0.0670979 , 
3 , --map-by core ETH Gather , 4096 x 4096 , 0.0312262 , 3.29018e-05 , 0.0366201 , 0.067884 , 
3 , --map-by core ETH Gather , 4096 x 4096 , 0.0312121 , 3.40939e-05 , 0.0366659 , 0.0679159 , 
3 , --map-by core ETH Gather , 4096 x 4096 , 0.030216 , 3.40939e-05 , 0.035959 , 0.066215 , 
3 , --map-by core ETH Gather , 4096 x 4096 , 0.0299668 , 3.8147e-05 , 0.035979 , 0.0659881 , 
4 , --map-by core ETH Gather , 4096 x 4096 , 0.0269551 , 3.29018e-05 , 0.0290802 , 0.056073 , 
4 , --map-by core ETH Gather , 4096 x 4096 , 0.0273309 , 3.19481e-05 , 0.0297451 , 0.0571139 , 
4 , --map-by core ETH Gather , 4096 x 4096 , 0.0275819 , 3.40939e-05 , 0.031172 , 0.0587921 , 
4 , --map-by core ETH Gather , 4096 x 4096 , 0.0276909 , 3.50475e-05 , 0.0308499 , 0.0585799 , 
4 , --map-by core ETH Gather , 4096 x 4096 , 0.026891 , 3.31402e-05 , 0.0304589 , 0.0573869 , 
5 , --map-by core ETH Gather , 4096 x 4096 , 0.0259731 , 3.50475e-05 , 0.0297668 , 0.0557809 , 
5 , --map-by core ETH Gather , 4096 x 4096 , 0.026979 , 2.28882e-05 , 0.02935 , 0.0563569 , 
5 , --map-by core ETH Gather , 4096 x 4096 , 0.0263581 , 2.28882e-05 , 0.0292299 , 0.0556149 , 
5 , --map-by core ETH Gather , 4096 x 4096 , 0.0261462 , 2.28882e-05 , 0.0294242 , 0.055599 , 
5 , --map-by core ETH Gather , 4096 x 4096 , 0.025888 , 2.69413e-05 , 0.029671 , 0.0555909 , 
6 , --map-by core ETH Gather , 4096 x 4096 , 0.025897 , 3.50475e-05 , 0.029377 , 0.0553141 , 
6 , --map-by core ETH Gather , 4096 x 4096 , 0.0265419 , 3.21865e-05 , 0.029336 , 0.0559151 , 
6 , --map-by core ETH Gather , 4096 x 4096 , 0.0258601 , 3.48091e-05 , 0.0294111 , 0.05531 , 
6 , --map-by core ETH Gather , 4096 x 4096 , 0.0260458 , 3.31402e-05 , 0.0291259 , 0.0552089 , 
6 , --map-by core ETH Gather , 4096 x 4096 , 0.025877 , 3.29018e-05 , 0.0295689 , 0.0554829 , 
7 , --map-by core ETH Gather , 4096 x 4096 , 0.025984 , 3.50475e-05 , 0.0298939 , 0.055917 , 
7 , --map-by core ETH Gather , 4096 x 4096 , 0.026984 , 2.69413e-05 , 0.0298622 , 0.0568781 , 
7 , --map-by core ETH Gather , 4096 x 4096 , 0.0260279 , 2.69413e-05 , 0.0298731 , 0.055933 , 
7 , --map-by core ETH Gather , 4096 x 4096 , 0.0261788 , 2.90871e-05 , 0.030184 , 0.056397 , 
7 , --map-by core ETH Gather , 4096 x 4096 , 0.025677 , 2.69413e-05 , 0.0298381 , 0.055546 , 
8 , --map-by core ETH Gather , 4096 x 4096 , 0.026279 , 3.60012e-05 , 0.031342 , 0.0576639 , 
8 , --map-by core ETH Gather , 4096 x 4096 , 0.026432 , 3.79086e-05 , 0.031353 , 0.0578289 , 
8 , --map-by core ETH Gather , 4096 x 4096 , 0.02668 , 3.60012e-05 , 0.0317972 , 0.0585182 , 
8 , --map-by core ETH Gather , 4096 x 4096 , 0.0285611 , 3.79086e-05 , 0.0329211 , 0.0615251 , 
8 , --map-by core ETH Gather , 4096 x 4096 , 0.026639 , 3.8147e-05 , 0.032048 , 0.0587301 , 
9 , --map-by core ETH Gather , 4096 x 4096 , 0.0254302 , 2.69413e-05 , 0.0291109 , 0.0545719 , 
9 , --map-by core ETH Gather , 4096 x 4096 , 0.0251701 , 2.7895e-05 , 0.0295579 , 0.054759 , 
9 , --map-by core ETH Gather , 4096 x 4096 , 0.0254371 , 2.7895e-05 , 0.0289741 , 0.0544431 , 
9 , --map-by core ETH Gather , 4096 x 4096 , 0.0251079 , 3.09944e-05 , 0.0289381 , 0.0540819 , 
9 , --map-by core ETH Gather , 4096 x 4096 , 0.0256622 , 2.7895e-05 , 0.028667 , 0.054363 , 
10 , --map-by core ETH Gather , 4096 x 4096 , 0.0250371 , 2.88486e-05 , 0.0285511 , 0.0536211 , 
10 , --map-by core ETH Gather , 4096 x 4096 , 0.0252349 , 3.00407e-05 , 0.0281851 , 0.0534542 , 
10 , --map-by core ETH Gather , 4096 x 4096 , 0.190016 , 3.69549e-05 , 0.029542 , 0.219599 , 
10 , --map-by core ETH Gather , 4096 x 4096 , 0.0252721 , 2.88486e-05 , 0.028754 , 0.0540588 , 
10 , --map-by core ETH Gather , 4096 x 4096 , 0.0257142 , 3.09944e-05 , 0.028986 , 0.0547349 , 
11 , --map-by core ETH Gather , 4096 x 4096 , 0.025502 , 2.7895e-05 , 0.028923 , 0.0544579 , 
11 , --map-by core ETH Gather , 4096 x 4096 , 0.024749 , 2.81334e-05 , 0.028615 , 0.053396 , 
11 , --map-by core ETH Gather , 4096 x 4096 , 0.189054 , 3.00407e-05 , 0.0294991 , 0.218587 , 
11 , --map-by core ETH Gather , 4096 x 4096 , 0.025326 , 2.88486e-05 , 0.028564 , 0.0539229 , 
11 , --map-by core ETH Gather , 4096 x 4096 , 0.0242898 , 2.98023e-05 , 0.0291872 , 0.0535121 , 
12 , --map-by core ETH Gather , 4096 x 4096 , 0.0263152 , 2.88486e-05 , 0.0282731 , 0.0546222 , 
12 , --map-by core ETH Gather , 4096 x 4096 , 0.02579 , 3.00407e-05 , 0.0279579 , 0.053782 , 
12 , --map-by core ETH Gather , 4096 x 4096 , 0.194485 , 3.09944e-05 , 0.0284111 , 0.222931 , 
12 , --map-by core ETH Gather , 4096 x 4096 , 0.026356 , 3.00407e-05 , 0.0285201 , 0.0549111 , 
12 , --map-by core ETH Gather , 4096 x 4096 , 0.025866 , 3.00407e-05 , 0.0276399 , 0.0535412 , 
13 , --map-by core ETH Gather , 4096 x 4096 , 0.025897 , 2.7895e-05 , 0.0280752 , 0.0540051 , 
13 , --map-by core ETH Gather , 4096 x 4096 , 0.0260179 , 2.90871e-05 , 0.028439 , 0.0544901 , 
13 , --map-by core ETH Gather , 4096 x 4096 , 0.0890741 , 3.38554e-05 , 0.0280521 , 0.117163 , 
13 , --map-by core ETH Gather , 4096 x 4096 , 0.026439 , 2.90871e-05 , 0.028502 , 0.054976 , 
13 , --map-by core ETH Gather , 4096 x 4096 , 0.025954 , 2.7895e-05 , 0.0283179 , 0.0543051 , 
14 , --map-by core ETH Gather , 4096 x 4096 , 0.0265501 , 3.29018e-05 , 0.0276022 , 0.0541902 , 
14 , --map-by core ETH Gather , 4096 x 4096 , 0.026253 , 2.59876e-05 , 0.0283039 , 0.054589 , 
14 , --map-by core ETH Gather , 4096 x 4096 , 0.195166 , 2.69413e-05 , 0.0275829 , 0.22278 , 
14 , --map-by core ETH Gather , 4096 x 4096 , 0.027288 , 2.90871e-05 , 0.0283699 , 0.055692 , 
14 , --map-by core ETH Gather , 4096 x 4096 , 0.027514 , 2.90871e-05 , 0.0282848 , 0.0558319 , 
15 , --map-by core ETH Gather , 4096 x 4096 , 0.0271881 , 2.40803e-05 , 0.0275159 , 0.054733 , 
15 , --map-by core ETH Gather , 4096 x 4096 , 0.0263219 , 2.81334e-05 , 0.028203 , 0.0545561 , 
15 , --map-by core ETH Gather , 4096 x 4096 , 0.140866 , 2.59876e-05 , 0.0283821 , 0.169278 , 
